Date:,Material,Threshold Power,Power (Deposition),Rate,Thickness (nm),Crystal Monitor %
12/24/2022,Silver,70.00%,40.00%,1,100nm,83%
01/04/2023,Gold,45.00%,49.70%,1,60nm,96.87%
01/04/2023,Gold,34.00%,48.00%,0.5,110nm,95.28%
01/05/2023,Gold,31.60%,43.00%,0.2,40nm,n/a
01/05/2023,Chromium ,7.00%,9.20%,0.5,10nm,94.74%
01/05/2023,Chromium ,5.00%,7.00%,0.2,10nm,n/a
01/05/2023,Gold,30.00%,40.00%,0.5,35nm,93%
01/10/2023,Chromium ,8.00%,9.00%,0.2,20nm,n/a
01/10/2023,Gold,42.00%,42.00%,0.08,40nm,n/a
01/10/2023,Titanium,16.00%,17.00%,0.1,1nm,n/a
01/10/2023,Gold,36.10%,48.00%,0.1,6nm,n/a
01/10/2023,Titanium,16.80%,26.80%,0.38,4nm,n/a
01/10/2023,Gold,35.00%,48.60%,0.85,46nm,n/a
01/10/2023,Silver,8.50%,11.00%,0.3,100nm,91.16%
01/11/2023,Chromium ,7.00%,10.00%,0.5,30nm,n/a
01/11/2023,Gold,40.00%,55.00%,1,60nm,90.60%
01/17/2023,Silicon Dioxide,3.00%,3.40%,0.2,50nm,89.76%
01/18/2023,Gold,52.00%,52.00%,1,60nm,90.6
01/18/2023,Silver,9.00%,15.60%,0.45,50nm,88.29%
01/18/2023,Titanium,13.60%,n/a,n/a,n/a,n/a
01/19/2023,Silicon Dioxide,3.00%,4.40%,0.3,70nm,88.28%
01/19/2023,Chromium ,7.00%,10.00%,0.5,20nm,n/a
01/22/2023,Chromium ,3.00%,8.00%,0.5,30nm,98.42%
01/22/2023,Gold,40.00%,46.80%,1,60nm,97.23%
01/22/2023,Chromium ,8.00%,14.90%,0.5,20nm,97%
01/22/2023,Gold,38.00%,48.00%,1.5,150nm,94.99%
01/23/2023,Silver,8.50%,23.00%,0.21,10nm,94.80%
01/23/2023,Chromium ,3.90%,12.10%,1,10nm,93.90%
01/23/2023,Gold,39.00%,48.60%,1.5,60nm,93.16%
01/24/2023,Chromium ,9.50%,11.00%,0.3,5nm,93.08%
01/24/2023,Gold,36.50%,45.00%,0.75,45nm,92.42%
01/24/2023,Gold,n/a,47.00%,1.00%,60nm,n/a
01/24/2023,Chromium ,n/a,13.70%,0.50%,30nm,n/a
01/25/2023,Silver,13.00%,16.70%,0.2,100nm,n/a
01/25/2023,Gold,36.50%,45.50%,0.8,45nm,89.45%
01/25/2023,Chromium ,10.50%,12.20%,0.3,10nm,89.36%
01/25/2023,Titanium,<5%,21.00%,0.2,10nm,n/a
01/25/2023,Gold,40.00%,57.00%,0.6,50nm,88.18%
01/26/2023,Gold,39.10%,46.00%,0.12,50nm,88.17%
01/27/2023,Silver,13.40%,29.00%,0.5,100nm,86.80%
01/28/2023,Titanium,14.50%,19.90%,0.1,1nm,n/a
01/28/2023,Gold,36.30%,46.00%,0.1,6nm,86.70%
01/28/2023,Chromium ,n/a,9.00%,0.4,5nm,n/a
01/28/2023,Gold,n/a,41.00%,0.5,50nm,n/a
01/30/2023,Chromium ,10.00%,13.00%,0.8,3nm,n/a
01/30/2023,Gold,39.00%,45.00%,0.66,20nm,n/a
01/30/2023,Chromium ,11.00%,12.50%,0.8,3nm,n/a
01/30/2023,Gold,35.00%,44.00%,0.58,20nm,n/a
01/30/2023,Gold,20.00%,57.00%,1,60nm,n/a
01/31/2023,Chromium ,10.00%,18.10%,1.2,70nm,n/a
01/31/2023,Gold,39.00%,45.00%,0.9,60nm,n/a
02/01/2023,Gold,31.10%,44.10%,0.48,10nm,82.24%
